,Tweet_id,Name,Rating_Numerator,Rating_Denominator,Retweet_Count,Favourite_count,Breed_Prediction_1,Breed_Conf_Intrvl_1,Breed_Prediction_Result_1,Breed_Prediction_2,Breed_Conf_Intrvl_2,Breed_Prediction_Result_2,Breed_Prediction_3,Breed_Conf_Intrvl_3,Breed_Prediction_Result_3,Dog_Stage,Timestamp,Text,Source,Jpg_url,Expanded_urls
0,892420643555336193,PhineNones,13.0,10,8608.0,38846.0,None,0.1,False,bagel,0.09,False,banana,0.08,False,,2017-08-01,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,https://twitter.com/dog_rates/status/892420643555336193/photo/1
1,892177421306343426,Tilly,13.0,10,6322.0,33277.0,Chihuahua,0.32,True,Pekinese,0.09,True,papillon,0.07,True,,2017-08-01,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,https://twitter.com/dog_rates/status/892177421306343426/photo/1
2,891815181378084864,Archie,12.0,10,4195.0,25073.0,Chihuahua,0.72,True,malamute,0.08,True,kelpie,0.03,True,,2017-07-31,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,https://twitter.com/dog_rates/status/891815181378084864/photo/1
3,891689557279858688,DNonerlNone,13.0,10,8719.0,42230.0,paper_towel,0.17,False,Labrador_retriever,0.17,True,spatula,0.04,False,,2017-07-30,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,https://twitter.com/dog_rates/status/891689557279858688/photo/1
4,891327558926688256,FrNonenklin,12.0,10,9489.0,40372.0,basset,0.56,True,English_springer,0.23,True,German_short-haired_pointer,0.18,True,,2017-07-29,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1"
5,891087950875897856,None,13.0,10,3137.0,20245.0,Chesapeake_Bay_retriever,0.43,True,Irish_terrier,0.12,True,Indian_elephant,0.08,False,,2017-07-29,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,https://twitter.com/dog_rates/status/891087950875897856/photo/1
6,890971913173991426,JNonex,13.0,10,2092.0,11867.0,Appenzeller,0.34,True,Border_collie,0.2,True,ice_lolly,0.19,False,,2017-07-28,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1"
7,890729181411237888,None,13.0,10,19077.0,65638.0,Pomeranian,0.57,True,Eskimo_dog,0.18,True,Pembroke,0.08,True,,2017-07-28,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1"
8,890609185150312448,Zoey,13.0,10,4308.0,27806.0,Irish_terrier,0.49,True,Irish_setter,0.19,True,Chesapeake_Bay_retriever,0.12,True,,2017-07-27,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,https://twitter.com/dog_rates/status/890609185150312448/photo/1
9,890240255349198849,CNonessie,14.0,10,7484.0,31982.0,Pembroke,0.51,True,Cardigan,0.45,True,Chihuahua,0.03,True,doggo,2017-07-26,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,https://twitter.com/dog_rates/status/890240255349198849/photo/1
10,890006608113172480,KodNone,13.0,10,7404.0,30696.0,Samoyed,0.96,True,Pomeranian,0.01,True,chow,0.01,True,,2017-07-26,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1"
11,889880896479866881,Bruno,13.0,10,5015.0,27828.0,French_bulldog,0.38,True,Labrador_retriever,0.15,True,muzzle,0.08,False,,2017-07-25,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,https://twitter.com/dog_rates/status/889880896479866881/photo/1
12,889665388333682689,None,13.0,10,10153.0,48182.0,Pembroke,0.97,True,Cardigan,0.03,True,basenji,0.0,True,puppo,2017-07-25,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,https://twitter.com/dog_rates/status/889665388333682689/photo/1
13,889638837579907072,Ted,12.0,10,4585.0,27209.0,French_bulldog,0.99,True,boxer,0.0,True,Staffordshire_bullterrier,0.0,True,,2017-07-25,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1"
